波长(nm),相对强度
-115.91419399999998,243.0
-115.61136499999998,281.0
-115.30853599999999,317.0
-115.00570699999999,269.0
-114.70287799999998,325.0
-114.40004899999998,271.0
-114.09721999999998,243.0
-113.79439099999999,265.0
-113.49156199999999,224.0
-113.18873299999998,304.0
-112.88590399999998,266.0
-112.58307499999998,288.0
-112.28024599999999,262.0
-111.97741699999999,250.0
-111.67458799999999,272.0
-111.37175899999998,228.0
-111.06893,233.0
-110.76610099999999,194.0
-110.46327199999999,206.0
-110.16044299999999,236.0
-109.85761399999998,290.0
-109.55478499999998,308.0
-109.25195599999998,299.0
-108.94912699999998,348.0
-108.64629799999997,331.0
-108.34346899999997,367.0
-108.04064,358.0
-107.737811,364.0
-107.43498199999999,307.0
-107.13215299999999,338.0
-106.82932399999999,325.0
-106.52649499999998,300.0
-106.22366599999998,333.0
-105.92083699999998,302.0
-105.61800799999997,260.0
-105.31517899999997,332.0
-105.01235,409.0
-104.709521,344.0
-104.40669199999999,331.0
-104.10386299999999,289.0
-103.80103399999999,293.0
-103.49820499999998,274.0
-103.19537599999998,322.0
-102.89254699999998,266.0
-102.58971799999998,284.0
-102.28688899999997,367.0
-101.98405999999997,385.0
-101.681231,322.0
-101.378402,270.0
-101.07557299999999,302.0
-100.77274399999999,342.0
-100.46991499999999,294.0
-100.16708599999998,337.0
-99.86425699999998,323.0
-99.56142799999998,298.0
-99.25859899999998,368.0
-98.95576999999997,366.0
-98.652941,293.0
-98.350112,336.0
-98.047283,363.0
-97.74445399999999,331.0
-97.44162499999999,339.0
-97.13879599999999,382.0
-96.83596699999998,340.0
-96.53313799999998,322.0
-96.23030899999998,345.0
-95.92747999999997,312.0
-95.62465099999997,341.0
-95.321822,304.0
-95.018993,353.0
-94.71616399999999,379.0
-94.41333499999999,387.0
-94.11050599999999,422.0
-93.80767699999998,402.0
-93.50484799999998,395.0
-93.20201899999998,419.0
-92.89918999999998,446.0
-92.59636099999997,395.0
-92.29353199999997,345.0
-91.990703,301.0
-91.687874,323.0
-91.38504499999999,305.0
-91.08221599999999,332.0
-90.77938699999999,319.0
-90.47655799999998,343.0
-90.17372899999998,391.0
-89.87089999999998,313.0
-89.56807099999997,354.0
-89.26524199999997,392.0
-88.96241299999997,338.0
-88.659584,325.0
-88.35675499999999,404.0
-88.05392599999999,395.0
-87.75109699999999,349.0
-87.44826799999998,343.0
-87.14543899999998,382.0
-86.84260999999998,327.0
-86.53978099999998,332.0
-86.23695199999997,400.0
-85.93412299999997,347.0
-85.631294,333.0
-85.328465,372.0
-85.02563599999999,403.0
-84.72280699999999,369.0
-84.41997799999999,359.0
-84.11714899999998,308.0
-83.81431999999998,401.0
-83.51149099999998,360.0
-83.20866199999998,405.0
-82.90583299999997,330.0
-82.60300399999997,341.0
-82.300175,331.0
-81.997346,404.0
-81.69451699999999,425.0
-81.39168799999999,451.0
-81.08885899999999,466.0
-80.78602999999998,414.0
-80.48320099999998,422.0
-80.18037199999998,383.0
-79.87754299999997,323.0
-79.57471399999997,323.0
-79.271885,331.0
-78.969056,396.0
-78.66622699999999,393.0
-78.36339799999999,426.0
-78.06056899999999,432.0
-77.75773999999998,428.0
-77.45491099999998,450.0
-77.15208199999998,417.0
-76.84925299999998,407.0
-76.54642399999997,356.0
-76.24359499999997,338.0
-75.940766,410.0
-75.637937,437.0
-75.33510799999999,399.0
-75.03227899999999,421.0
-74.72944999999999,388.0
-74.42662099999998,359.0
-74.12379199999998,342.0
-73.82096299999998,397.0
-73.51813399999998,456.0
-73.21530499999997,472.0
-72.91247599999997,434.0
-72.609647,450.0
-72.30681799999999,467.0
-72.00398899999999,404.0
-71.70115999999999,408.0
-71.39833099999998,453.0
-71.09550199999998,476.0
-70.79267299999998,430.0
-70.48984399999998,433.0
-70.18701499999997,480.0
-69.88418599999997,373.0
-69.58135699999997,416.0
-69.278528,474.0
-68.97569899999999,444.0
-68.67286999999999,478.0
-68.37004099999999,403.0
-68.06721199999998,386.0
-67.76438299999998,452.0
-67.46155399999998,418.0
-67.15872499999998,407.0
-66.85589599999997,397.0
-66.55306699999997,390.0
-66.250238,358.0
-65.947409,430.0
-65.64457999999999,440.0
-65.34175099999999,409.0
-65.03892199999999,447.0
-64.73609299999998,409.0
-64.43326399999998,459.0
-64.13043499999998,431.0
-63.827605999999975,466.0
-63.52477699999997,407.0
-63.22194799999997,434.0
-62.919118999999995,405.0
-62.61628999999999,467.0
-62.31346099999999,492.0
-62.01063199999999,450.0
-61.707802999999984,402.0
-61.40497399999998,439.0
-61.10214499999998,399.0
-60.799315999999976,414.0
-60.49648699999997,470.0
-60.19365799999997,506.0
-59.890829,488.0
-59.587999999999994,452.0
-59.28517099999999,415.0
-58.98234199999999,439.0
-58.679512999999986,482.0
-58.37668399999998,481.0
-58.07385499999998,428.0
-57.77102599999998,411.0
-57.468196999999975,460.0
-57.16536799999997,469.0
-56.86253899999997,459.0
-56.559709999999995,428.0
-56.25688099999999,397.0
-55.95405199999999,409.0
-55.65122299999999,452.0
-55.348393999999985,525.0
-55.04556499999998,516.0
-54.74273599999998,462.0
-54.43990699999998,412.0
-54.137077999999974,467.0
-53.83424899999997,473.0
-53.53141999999997,433.0
-53.228590999999994,386.0
-52.92576199999999,397.0
-52.62293299999999,462.0
-52.320103999999986,513.0
-52.017274999999984,528.0
-51.71444599999998,450.0
-51.41161699999998,366.0
-51.108787999999976,448.0
-50.80595899999997,477.0
-50.50312999999997,493.0
-50.20030099999997,518.0
-49.89747199999999,522.0
-49.59464299999999,460.0
-49.29181399999999,422.0
-48.988984999999985,484.0
-48.68615599999998,533.0
-48.38332699999998,495.0
-48.08049799999998,527.0
-47.777668999999975,469.0
-47.47483999999997,448.0
-47.17201099999997,505.0
-46.869181999999995,526.0
-46.56635299999999,476.0
-46.26352399999999,485.0
-45.96069499999999,443.0
-45.657865999999984,412.0
-45.35503699999998,437.0
-45.05220799999998,473.0
-44.749378999999976,517.0
-44.446549999999974,560.0
-44.14372099999997,468.0
-43.84089199999997,462.0
-43.538062999999994,509.0
-43.23523399999999,455.0
-42.93240499999999,516.0
-42.629575999999986,551.0
-42.32674699999998,506.0
-42.02391799999998,520.0
-41.72108899999998,465.0
-41.418259999999975,453.0
-41.11543099999997,492.0
-40.81260199999997,459.0
-40.509772999999996,435.0
-40.20694399999999,451.0
-39.90411499999999,457.0
-39.60128599999999,462.0
-39.298456999999985,466.0
-38.99562799999998,483.0
-38.69279899999998,515.0
-38.38996999999998,567.0
-38.087140999999974,493.0
-37.78431199999997,468.0
-37.48148299999997,463.0
-37.178653999999995,431.0
-36.87582499999999,501.0
-36.57299599999999,537.0
-36.27016699999999,484.0
-35.967337999999984,508.0
-35.66450899999998,453.0
-35.36167999999998,453.0
-35.058850999999976,513.0
-34.75602199999997,516.0
-34.45319299999997,485.0
-34.15036399999997,512.0
-33.84753499999999,473.0
-33.54470599999999,442.0
-33.24187699999999,519.0
-32.939047999999985,483.0
-32.63621899999998,532.0
-32.33338999999998,575.0
-32.03056099999998,497.0
-31.727731999999975,499.0
-31.424902999999972,562.0
-31.12207399999997,609.0
-30.819244999999967,597.0
-30.516415999999992,542.0
-30.21358699999999,519.0
-29.910757999999987,545.0
-29.607928999999984,584.0
-29.30509999999998,598.0
-29.00227099999998,507.0
-28.699441999999976,460.0
-28.396612999999974,540.0
-28.09378399999997,559.0
-27.79095499999997,564.0
-27.488125999999994,595.0
-27.18529699999999,558.0
-26.88246799999999,551.0
-26.579638999999986,580.0
-26.276809999999983,559.0
-25.97398099999998,544.0
-25.671151999999978,520.0
-25.368322999999975,563.0
-25.065493999999973,613.0
-24.76266499999997,620.0
-24.459835999999967,558.0
-24.157006999999993,580.0
-23.85417799999999,600.0
-23.551348999999988,551.0
-23.248519999999985,542.0
-22.945690999999982,624.0
-22.64286199999998,591.0
-22.340032999999977,550.0
-22.037203999999974,497.0
-21.73437499999997,447.0
-21.43154599999997,516.0
-21.128716999999995,477.0
-20.825887999999992,476.0
-20.52305899999999,559.0
-20.220229999999987,582.0
-19.917400999999984,609.0
-19.61457199999998,594.0
-19.31174299999998,629.0
-19.008913999999976,631.0
-18.706084999999973,532.0
-18.40325599999997,564.0
-18.100426999999968,539.0
-17.797597999999994,609.0
-17.49476899999999,550.0
-17.19193999999999,522.0
-16.889110999999986,507.0
-16.586281999999983,520.0
-16.28345299999998,488.0
-15.980623999999978,507.0
-15.677794999999975,575.0
-15.374965999999972,540.0
-15.07213699999997,541.0
-14.769307999999967,572.0
-14.466478999999993,564.0
-14.16364999999999,500.0
-13.860820999999987,562.0
-13.557991999999985,616.0
-13.255162999999982,569.0
-12.95233399999998,673.0
-12.649504999999976,638.0
-12.346675999999974,583.0
-12.043846999999971,596.0
-11.741017999999968,531.0
-11.438188999999966,598.0
-11.135359999999991,643.0
-10.832530999999989,638.0
-10.529701999999986,622.0
-10.226872999999983,572.0
-9.92404399999998,569.0
-9.621214999999978,584.0
-9.318385999999975,604.0
-9.015556999999973,569.0
-8.71272799999997,616.0
-8.409898999999967,587.0
-8.107069999999993,541.0
-7.80424099999999,530.0
-7.501411999999988,559.0
-7.198582999999985,519.0
-6.895753999999982,491.0
-6.59292499999998,562.0
-6.290095999999977,567.0
-5.987266999999974,584.0
-5.684437999999972,612.0
-5.381608999999969,615.0
-5.078779999999966,641.0
-4.775950999999992,624.0
-4.473121999999989,640.0
-4.170292999999987,627.0
-3.867463999999984,617.0
-3.5646349999999813,597.0
-3.2618059999999787,626.0
-2.958976999999976,565.0
-2.6561479999999733,540.0
-2.3533189999999706,529.0
-2.050489999999968,580.0
-1.7476609999999937,538.0
-1.444831999999991,534.0
-1.1420029999999883,646.0
-0.8391739999999857,665.0
-0.536344999999983,674.0
-0.2335159999999803,613.0
0.06931300000002238,637.0
0.37214200000002506,623.0
0.6749710000000277,596.0
0.9778000000000304,561.0
1.280629000000033,633.0
1.5834580000000074,595.0
1.88628700000001,630.0
2.1891160000000127,635.0
2.4919450000000154,658.0
2.794774000000018,653.0
3.0976030000000208,565.0
3.4004320000000234,625.0
3.703261000000026,577.0
4.006090000000029,575.0
4.3089190000000315,535.0
4.611748000000034,568.0
4.914577000000008,537.0
5.217406000000011,531.0
5.520235000000014,645.0
5.8230640000000164,682.0
6.125893000000019,608.0
6.428722000000022,594.0
6.7315510000000245,595.0
7.034380000000027,618.0
7.33720900000003,637.0
7.6400380000000325,679.0
7.942867000000035,615.0
8.24569600000001,653.0
8.548525000000012,601.0
8.851354000000015,565.0
9.154183000000018,584.0
9.45701200000002,630.0
9.759841000000023,619.0
10.062670000000026,635.0
10.365499000000028,658.0
10.668328000000031,678.0
10.971157000000034,694.0
11.273986000000008,717.0
11.57681500000001,744.0
11.879644000000013,749.0
12.182473000000016,699.0
12.485302000000019,626.0
12.788131000000021,584.0
13.090960000000024,661.0
13.393789000000027,658.0
13.69661800000003,611.0
13.999447000000032,610.0
14.302276000000035,609.0
14.605105000000009,607.0
14.907934000000012,610.0
15.210763000000014,632.0
15.513592000000017,659.0
15.81642100000002,677.0
16.119250000000022,720.0
16.422079000000025,736.0
16.724908000000028,739.0
17.027737000000002,791.0
17.330566000000033,752.0
17.633395000000007,744.0
17.93622400000004,752.0
18.239053000000013,703.0
18.541882000000044,741.0
18.844711000000018,677.0
19.14754000000005,691.0
19.450369000000023,646.0
19.753197999999998,731.0
20.05602700000003,776.0
20.358856000000003,730.0
20.661685000000034,710.0
20.96451400000001,718.0
21.26734300000004,640.0
21.570172000000014,714.0
21.873001000000045,709.0
22.17583000000002,738.0
22.47865900000005,736.0
22.781488000000024,692.0
23.084317,726.0
23.38714600000003,657.0
23.689975000000004,708.0
23.992804000000035,691.0
24.29563300000001,720.0
24.59846200000004,651.0
24.901291000000015,734.0
25.204120000000046,641.0
25.50694900000002,690.0
25.809777999999994,684.0
26.112607000000025,655.0
26.415436,673.0
26.71826500000003,672.0
27.021094000000005,666.0
27.323923000000036,675.0
27.62675200000001,693.0
27.92958100000004,725.0
28.232410000000016,679.0
28.535239000000047,717.0
28.83806800000002,701.0
29.140896999999995,753.0
29.443726000000026,713.0
29.746555,749.0
30.049384000000032,693.0
30.352213000000006,710.0
30.655042000000037,651.0
30.95787100000001,724.0
31.260700000000043,641.0
31.563529000000017,644.0
31.866358000000048,659.0
32.16918700000002,648.0
32.472015999999996,708.0
32.77484500000003,684.0
33.077674,715.0
33.38050300000003,740.0
33.68333200000001,748.0
33.98616100000004,755.0
34.28899000000001,687.0
34.591819000000044,721.0
34.89464800000002,685.0
35.19747700000005,758.0
35.50030600000002,812.0
35.803135,825.0
36.10596400000003,827.0
36.408793,749.0
36.711622000000034,694.0
37.01445100000001,669.0
37.31728000000004,741.0
37.620109000000014,746.0
37.922938000000045,779.0
38.22576700000002,749.0
38.52859600000005,703.0
38.831425000000024,725.0
39.134254,764.0
39.43708300000003,742.0
39.739912000000004,711.0
40.042741000000035,762.0
40.34557000000001,750.0
40.64839900000004,768.0
40.951228000000015,742.0
41.254057000000046,787.0
41.55688600000002,782.0
41.859714999999994,822.0
42.162544000000025,764.0
42.465373,757.0
42.76820200000003,777.0
43.071031000000005,792.0
43.373860000000036,739.0
43.67668900000001,779.0
43.97951800000004,748.0
44.282347000000016,684.0
44.58517600000005,701.0
44.88800500000002,709.0
45.190833999999995,719.0
45.493663000000026,732.0
45.796492,757.0
46.09932100000003,785.0
46.402150000000006,783.0
46.70497900000004,794.0
47.00780800000001,829.0
47.31063700000004,795.0
47.61346600000002,775.0
47.91629500000005,781.0
48.21912400000002,761.0
48.521952999999996,767.0
48.82478200000003,837.0
49.127611,846.0
49.43044000000003,911.0
49.73326900000001,857.0
50.03609800000004,881.0
50.33892700000001,901.0
50.64175600000004,845.0
50.94458500000002,930.0
51.24741400000005,936.0
51.55024300000002,926.0
51.853072,872.0
52.15590100000003,845.0
52.45873,851.0
52.761559000000034,889.0
53.06438800000001,854.0
53.36721700000004,824.0
53.67004600000001,885.0
53.972875000000045,824.0
54.27570400000002,840.0
54.57853300000005,785.0
54.881362000000024,836.0
55.184191,863.0
55.48702000000003,889.0
55.789849000000004,807.0
56.092678000000035,831.0
56.39550700000001,831.0
56.69833600000004,842.0
57.001165000000015,910.0
57.303994000000046,888.0
57.60682300000002,898.0
57.90965200000005,925.0
58.212481000000025,861.0
58.51531,877.0
58.81813900000003,881.0
59.120968000000005,837.0
59.423797000000036,899.0
59.72662600000001,896.0
60.02945500000004,936.0
60.332284000000016,949.0
60.63511300000005,890.0
60.93794200000002,831.0
61.24077100000005,908.0
61.543600000000026,891.0
61.846429,927.0
62.14925800000003,961.0
62.452087000000006,927.0
62.75491600000004,864.0
63.05774500000001,949.0
63.36057400000004,972.0
63.66340300000002,921.0
63.96623200000005,909.0
64.26906100000002,874.0
64.57189,887.0
64.87471900000003,921.0
65.177548,892.0
65.48037700000003,924.0
65.783206,943.0
66.08603500000004,899.0
66.38886400000001,915.0
66.69169300000004,966.0
66.99452200000002,994.0
67.29735100000005,1005.0
67.60018000000002,1038.0
67.903009,974.0
68.20583800000003,941.0
68.508667,972.0
68.81149600000003,991.0
69.11432500000001,912.0
69.41715400000004,918.0
69.71998300000001,976.0
70.02281200000004,924.0
70.32564100000002,933.0
70.62847000000005,971.0
70.93129900000002,925.0
71.234128,931.0
71.53695700000003,900.0
71.839786,978.0
72.14261500000003,944.0
72.44544400000001,981.0
72.74827300000004,956.0
73.05110200000001,912.0
73.35393100000005,896.0
73.65676000000002,874.0
73.95958900000005,907.0
74.26241800000003,892.0
74.565247,865.0
74.86807600000003,957.0
75.170905,1028.0
75.47373400000004,1031.0
75.77656300000001,1032.0
76.07939200000004,1056.0
76.38222100000002,1057.0
76.68505000000005,1042.0
76.98787900000002,975.0
77.29070800000005,958.0
77.59353700000003,952.0
77.896366,960.0
78.19919500000003,925.0
78.502024,952.0
78.80485300000004,998.0
79.10768200000001,1034.0
79.41051100000004,1014.0
79.71334000000002,947.0
80.01616900000005,900.0
80.31899800000002,967.0
80.621827,924.0
80.92465600000003,981.0
81.227485,1000.0
81.53031400000003,1008.0
81.833143,1056.0
82.13597200000004,983.0
82.43880100000001,1091.0
82.74163000000004,1000.0
83.04445900000002,987.0
83.34728800000005,1016.0
83.65011700000002,997.0
83.952946,1036.0
84.25577500000003,995.0
84.558604,1081.0
84.86143300000003,1011.0
85.16426200000001,1030.0
85.46709100000004,1084.0
85.76992000000001,1089.0
86.07274900000004,1098.0
86.37557800000002,1046.0
86.67840700000005,1075.0
86.98123600000002,1085.0
87.284065,1082.0
87.58689400000003,1075.0
87.889723,1053.0
88.19255200000003,1065.0
88.49538100000001,1047.0
88.79821000000004,1074.0
89.10103900000001,1055.0
89.40386800000005,1043.0
89.70669700000002,1022.0
90.00952600000005,1094.0
90.31235500000003,1125.0
90.615184,1032.0
90.91801300000003,1001.0
91.220842,1063.0
91.52367100000004,1052.0
91.82650000000001,1127.0
92.12932900000004,1163.0
92.43215800000002,1109.0
92.73498700000005,1073.0
93.03781600000002,1071.0
93.34064500000005,1054.0
93.64347400000003,1134.0
93.946303,1041.0
94.24913200000003,1097.0
94.551961,1030.0
94.85479000000004,1126.0
95.15761900000001,1154.0
95.46044800000004,1090.0
95.76327700000002,1058.0
96.06610600000005,1079.0
96.36893500000002,1119.0
96.67176400000005,1158.0
96.97459300000003,1171.0
97.277422,1140.0
97.58025100000003,1125.0
97.88308,1161.0
98.18590900000004,1169.0
98.48873800000001,1112.0
98.79156700000004,1079.0
99.09439600000002,1070.0
99.39722500000005,1118.0
99.70005400000002,1102.0
100.00288300000005,1101.0
100.30571200000003,1143.0
100.608541,1189.0
100.91137000000003,1228.0
101.21419900000001,1210.0
101.51702800000004,1139.0
101.81985700000001,1168.0
102.12268600000004,1166.0
102.42551500000002,1210.0
102.72834400000005,1201.0
103.03117300000002,1207.0
103.334002,1219.0
103.63683100000003,1154.0
103.93966,1111.0
104.24248900000003,1111.0
104.54531800000001,1204.0
104.84814700000004,1125.0
105.15097600000001,1153.0
105.45380500000005,1102.0
105.75663400000002,1170.0
106.05946300000005,1138.0
106.36229200000002,1130.0
106.665121,1145.0
106.96795000000003,1132.0
107.270779,1168.0
107.57360800000004,1135.0
107.87643700000001,1118.0
108.17926600000004,1210.0
108.48209500000002,1207.0
108.78492400000005,1208.0
109.08775300000002,1248.0
109.39058200000005,1226.0
109.69341100000003,1250.0
109.99624,1235.0
110.29906900000003,1201.0
110.601898,1176.0
110.90472700000004,1187.0
111.20755600000001,1183.0
111.51038500000004,1196.0
