波长(nm),相对强度
-239.165597,212.0
-238.862768,260.0
-238.55993899999999,286.0
-238.25710999999998,319.0
-237.95428099999998,286.0
-237.65145199999998,323.0
-237.348623,305.0
-237.045794,292.0
-236.742965,233.0
-236.440136,257.0
-236.137307,270.0
-235.834478,256.0
-235.531649,217.0
-235.22881999999998,237.0
-234.92599099999998,273.0
-234.62316199999998,256.0
-234.320333,245.0
-234.017504,208.0
-233.714675,202.0
-233.411846,194.0
-233.109017,275.0
-232.806188,310.0
-232.503359,286.0
-232.20053,333.0
-231.89770099999998,343.0
-231.59487199999998,252.0
-231.29204299999998,217.0
-230.989214,221.0
-230.686385,309.0
-230.383556,288.0
-230.080727,320.0
-229.777898,302.0
-229.475069,270.0
-229.17224,256.0
-228.86941099999999,322.0
-228.56658199999998,286.0
-228.26375299999998,269.0
-227.96092399999998,322.0
-227.658095,272.0
-227.355266,267.0
-227.052437,308.0
-226.749608,283.0
-226.446779,327.0
-226.14395,317.0
-225.841121,315.0
-225.53829199999998,248.0
-225.23546299999998,229.0
-224.93263399999998,244.0
-224.62980499999998,258.0
-224.326976,312.0
-224.024147,259.0
-223.721318,227.0
-223.418489,288.0
-223.11566,237.0
-222.812831,218.0
-222.510002,191.0
-222.20717299999998,279.0
-221.90434399999998,359.0
-221.601515,303.0
-221.29868599999998,325.0
-220.995857,274.0
-220.693028,291.0
-220.390199,259.0
-220.08737,313.0
-219.784541,345.0
-219.481712,242.0
-219.17888299999998,208.0
-218.87605399999998,205.0
-218.57322499999998,228.0
-218.270396,282.0
-217.96756699999997,227.0
-217.664738,208.0
-217.361909,198.0
-217.05908,218.0
-216.756251,171.0
-216.453422,293.0
-216.150593,277.0
-215.84776399999998,276.0
-215.54493499999998,281.0
-215.24210599999998,261.0
-214.939277,289.0
-214.636448,291.0
-214.333619,292.0
-214.03079,291.0
-213.727961,294.0
-213.425132,346.0
-213.122303,321.0
-212.81947399999999,337.0
-212.51664499999998,335.0
-212.21381599999998,339.0
-211.91098699999998,362.0
-211.608158,283.0
-211.305329,295.0
-211.0025,339.0
-210.699671,280.0
-210.396842,344.0
-210.094013,278.0
-209.791184,353.0
-209.48835499999998,286.0
-209.18552599999998,337.0
-208.88269699999998,344.0
-208.57986799999998,286.0
-208.277039,284.0
-207.97421,297.0
-207.671381,301.0
-207.368552,271.0
-207.065723,316.0
-206.762894,309.0
-206.460065,310.0
-206.15723599999998,293.0
-205.85440699999998,367.0
-205.551578,316.0
-205.24874899999998,357.0
-204.94592,391.0
-204.643091,312.0
-204.340262,316.0
-204.037433,344.0
-203.734604,359.0
-203.431775,291.0
-203.12894599999998,268.0
-202.82611699999998,292.0
-202.52328799999998,285.0
-202.220459,348.0
-201.91762999999997,376.0
-201.614801,280.0
-201.311972,255.0
-201.009143,316.0
-200.706314,273.0
-200.403485,307.0
-200.100656,308.0
-199.79782699999998,264.0
-199.49499799999998,357.0
-199.19216899999998,315.0
-198.88934,367.0
-198.58651099999997,366.0
-198.283682,381.0
-197.980853,335.0
-197.678024,327.0
-197.375195,336.0
-197.072366,374.0
-196.76953699999999,381.0
-196.46670799999998,413.0
-196.16387899999998,333.0
-195.86104999999998,385.0
-195.558221,354.0
-195.25539199999997,380.0
-194.952563,316.0
-194.649734,332.0
-194.346905,380.0
-194.044076,324.0
-193.741247,374.0
-193.43841799999998,379.0
-193.13558899999998,348.0
-192.83275999999998,394.0
-192.52993099999998,319.0
-192.227102,326.0
-191.92427299999997,385.0
-191.621444,381.0
-191.318615,402.0
-191.015786,340.0
-190.712957,402.0
-190.410128,443.0
-190.10729899999998,365.0
-189.80446999999998,321.0
-189.501641,385.0
-189.19881199999998,345.0
-188.895983,348.0
-188.593154,388.0
-188.290325,356.0
-187.987496,358.0
-187.684667,411.0
-187.381838,416.0
-187.07900899999999,323.0
-186.77617999999998,331.0
-186.47335099999998,403.0
-186.170522,339.0
-185.86769299999997,350.0
-185.564864,298.0
-185.262035,394.0
-184.959206,418.0
-184.656377,403.0
-184.353548,423.0
-184.050719,424.0
-183.74788999999998,412.0
-183.44506099999998,423.0
